Timestamp,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8
2025-09-03 13:38:56.413,-521468,-583681,-583907,-558102,2,2,2,2
2025-09-03 13:38:56.415,-521463,-583584,-583833,-558085,2,2,2,2
2025-09-03 13:38:56.418,-521348,-583543,-575595,-558297,2,2,2,2
2025-09-03 13:38:56.421,-521618,-583740,-584052,-574661,2,2,2,2
2025-09-03 13:38:56.423,-521576,-575520,-583964,-558217,2,2,2,2
2025-09-03 13:38:56.426,-521455,-583652,-583836,-558097,2,2,2,2
2025-09-03 13:38:56.429,-521478,-583684,-583931,-558190,2,2,2,2
2025-09-03 13:38:56.432,-521697,-583882,-584066,-574707,2,2,2,2
2025-09-03 13:38:56.434,-521719,-583913,-575901,-558334,2,2,2,2
2025-09-03 13:38:56.437,-521592,-583733,-584041,-574650,2,2,2,2
2025-09-03 13:38:56.439,-521447,-583641,-583839,-574466,2,2,2,2
2025-09-03 13:38:56.442,-521501,-583695,-583942,-574587,2,2,2,2
2025-09-03 13:38:56.445,-521456,-583581,-583898,-558093,2,2,2,2
2025-09-03 13:38:56.448,-521458,-583648,-583831,-574477,2,2,2,2
2025-09-03 13:38:56.451,-521486,-583687,-583940,-558127,2,2,2,2
2025-09-03 13:38:56.454,-521368,-583565,-583814,-558331,2,2,2,2
2025-09-03 13:38:56.456,-521240,-575242,-583935,-558191,2,2,2,2
2025-09-03 13:38:56.459,-521468,-575473,-583907,-558100,2,2,2,2
2025-09-03 13:38:56.462,-521437,-583562,-583813,-558329,2,2,2,2
2025-09-03 13:38:56.464,-521417,-583552,-583799,-558312,2,2,2,2
2025-09-03 13:38:56.467,-521446,-575379,-583883,-558321,2,2,2,2
2025-09-03 13:38:56.470,-521445,-583606,-583819,-574457,2,2,2,2
2025-09-03 13:38:56.473,-521472,-583663,-583916,-558110,2,2,2,2
2025-09-03 13:38:56.476,-521234,-583433,-583928,-558121,2,2,2,2
2025-09-03 13:38:56.478,-521465,-583665,-583871,-558099,2,2,2,2
2025-09-03 13:38:56.481,-521340,-583535,-583703,-558216,2,2,2,2
2025-09-03 13:38:56.484,-521446,-583629,-583809,-574462,2,2,2,2
2025-09-03 13:38:56.486,-521358,-583617,-583788,-574413,2,2,2,2
2025-09-03 13:38:56.489,-521236,-583677,-583924,-574509,2,2,2,2
2025-09-03 13:38:56.492,-521220,-583665,-583921,-558103,2,2,2,2
2025-09-03 13:38:56.495,-521236,-583676,-583919,-574494,2,2,2,2
2025-09-03 13:38:56.498,-521485,-583675,-583911,-574528,2,2,2,2
2025-09-03 13:38:56.501,-521623,-583815,-584059,-558320,2,2,2,2
2025-09-03 13:38:56.503,-521400,-583545,-583795,-558309,2,2,2,2
2025-09-03 13:38:56.506,-521330,-583440,-583693,-574589,2,2,2,2
2025-09-03 13:38:56.509,-521444,-575365,-583874,-558067,2,2,2,2
2025-09-03 13:38:56.511,-521278,-583455,-583710,-558226,2,2,2,2
2025-09-03 13:38:56.514,-521577,-583697,-583956,-574515,2,2,2,2
2025-09-03 13:38:56.517,-521376,-583567,-583812,-558318,2,2,2,2
2025-09-03 13:38:56.519,-521458,-583632,-583817,-574715,2,2,2,2
2025-09-03 13:38:56.522,-521349,-575329,-583713,-558229,2,2,2,2
2025-09-03 13:38:56.525,-521278,-583528,-583783,-558221,2,2,2,2
2025-09-03 13:38:56.527,-521429,-583549,-583803,-558310,2,2,2,2
2025-09-03 13:38:56.530,-521457,-583575,-575635,-558084,2,2,2,2
2025-09-03 13:38:56.533,-521326,-583440,-583685,-558197,2,2,2,2
2025-09-03 13:38:56.536,-521456,-583631,-583821,-574712,2,2,2,2
2025-09-03 13:38:56.539,-521449,-583562,-583810,-558321,2,2,2,2
2025-09-03 13:38:56.542,-521590,-583704,-575768,-558279,2,2,2,2
2025-09-03 13:38:56.545,-521705,-583822,-584070,-558321,2,2,2,2
2025-09-03 13:38:56.548,-521487,-583655,-583905,-574518,2,2,2,2
2025-09-03 13:38:56.551,-521325,-583432,-583682,-574575,2,2,2,2
2025-09-03 13:38:56.554,-521365,-583542,-583796,-557977,2,2,2,2
2025-09-03 13:38:56.557,-521437,-583546,-583732,-558049,2,2,2,2
2025-09-03 13:38:56.559,-521457,-583572,-583884,-558073,2,2,2,2
2025-09-03 13:38:56.562,-521347,-583521,-575519,-558019,2,2,2,2
2025-09-03 13:38:56.565,-521444,-583540,-583816,-557984,2,2,2,2
2025-09-03 13:38:56.568,-521233,-583673,-583927,-574488,2,2,2,2
2025-09-03 13:38:56.571,-521339,-583450,-583703,-558017,2,2,2,2
2025-09-03 13:38:56.574,-521373,-583551,-583812,-558059,2,2,2,2
2025-09-03 13:38:56.577,-521465,-583636,-583831,-574480,2,2,2,2
2025-09-03 13:38:56.579,-521250,-583426,-583681,-558195,2,2,2,2
2025-09-03 13:38:56.582,-521237,-583668,-583911,-558110,2,2,2,2
2025-09-03 13:38:56.585,-521324,-583680,-583929,-558203,2,2,2,2
2025-09-03 13:38:56.588,-521457,-583559,-583820,-558333,2,2,2,2
2025-09-03 13:38:56.590,-521451,-583563,-583813,-558075,2,2,2,2
2025-09-03 13:38:56.593,-521353,-583468,-583788,-558043,2,2,2,2
2025-09-03 13:38:56.596,-521464,-583577,-583827,-558081,2,2,2,2
2025-09-03 13:38:56.598,-521218,-583640,-583826,-574462,2,2,2,2
2025-09-03 13:38:56.601,-521353,-583444,-583704,-558221,2,2,2,2
2025-09-03 13:38:56.604,-521316,-583673,-583936,-574579,2,2,2,2
2025-09-03 13:38:56.606,-521222,-583571,-583864,-558093,2,2,2,2
2025-09-03 13:38:56.610,-521365,-583449,-583712,-558236,2,2,2,2
2025-09-03 13:38:56.612,-521472,-583638,-583828,-574483,2,2,2,2
2025-09-03 13:38:56.615,-521315,-583668,-583917,-558190,2,2,2,2
2025-09-03 13:38:56.617,-521329,-583426,-575491,-558273,2,2,2,2
2025-09-03 13:38:56.620,-521425,-583452,-583736,-558225,2,2,2,2
2025-09-03 13:38:56.623,-521219,-583639,-583828,-574479,2,2,2,2
2025-09-03 13:38:56.626,-521452,-583558,-575613,-558078,2,2,2,2
2025-09-03 13:38:56.628,-521330,-583435,-583687,-574346,2,2,2,2
2025-09-03 13:38:56.631,-521337,-583445,-575508,-558029,2,2,2,2
2025-09-03 13:38:56.633,-521452,-583557,-583806,-574453,2,2,2,2
2025-09-03 13:38:56.636,-521343,-583442,-583693,-558020,2,2,2,2
2025-09-03 13:38:56.639,-521455,-583540,-583726,-558055,2,2,2,2
2025-09-03 13:38:56.642,-521326,-583421,-583674,-557940,2,2,2,2
2025-09-03 13:38:56.644,-521443,-583542,-583807,-557984,2,2,2,2
2025-09-03 13:38:56.647,-521230,-583660,-575715,-558096,2,2,2,2
2025-09-03 13:38:56.650,-521438,-583544,-583797,-558238,2,2,2,2
2025-09-03 13:38:56.652,-521426,-583544,-583724,-558235,2,2,2,2
2025-09-03 13:38:56.655,-521328,-583447,-583691,-558284,2,2,2,2
2025-09-03 13:38:56.658,-521366,-583544,-575585,-558307,2,2,2,2
2025-09-03 13:38:56.660,-521585,-583711,-583942,-574598,2,2,2,2
2025-09-03 13:38:56.663,-521586,-583717,-583953,-574602,2,2,2,2
2025-09-03 13:38:56.666,-521707,-583817,-584000,-558332,2,2,2,2
2025-09-03 13:38:56.669,-521692,-583810,-583982,-558309,2,2,2,2
2025-09-03 13:38:56.672,-521702,-575636,-584138,-558337,2,2,2,2
2025-09-03 13:38:56.675,-521720,-583915,-584164,-558357,2,2,2,2
2025-09-03 13:38:56.677,-521724,-583881,-584093,-574736,2,2,2,2
2025-09-03 13:38:56.680,-521528,-583780,-583958,-558475,2,2,2,2
2025-09-03 13:38:56.683,-521608,-583796,-583967,-558561,2,2,2,2
2025-09-03 13:38:56.685,-521687,-583827,-584055,-558327,2,2,2,2
2025-09-03 13:38:56.689,-521699,-583823,-584064,-558337,2,2,2,2
2025-09-03 13:38:56.691,-521500,-583707,-583944,-558276,2,2,2,2
2025-09-03 13:38:56.694,-521609,-583811,-584049,-558309,2,2,2,2
2025-09-03 13:38:56.697,-521456,-583666,-583832,-574484,2,2,2,2
2025-09-03 13:38:56.699,-521469,-583678,-583869,-558178,2,2,2,2
2025-09-03 13:38:56.702,-521573,-583796,-583958,-558218,2,2,2,2
2025-09-03 13:38:56.705,-521595,-583816,-584051,-558317,2,2,2,2
2025-09-03 13:38:56.708,-521569,-583721,-583958,-574603,2,2,2,2
2025-09-03 13:38:56.710,-521474,-583702,-583931,-574518,2,2,2,2
2025-09-03 13:38:56.713,-521248,-583533,-583735,-558227,2,2,2,2
2025-09-03 13:38:56.716,-521504,-583726,-583952,-574676,2,2,2,2
2025-09-03 13:38:56.718,-521272,-583575,-583729,-558326,2,2,2,2
2025-09-03 13:38:56.721,-521250,-583556,-583716,-558237,2,2,2,2
2025-09-03 13:38:56.724,-521245,-583617,-583704,-574606,2,2,2,2
2025-09-03 13:38:56.727,-521277,-583650,-583736,-558327,2,2,2,2
2025-09-03 13:38:56.730,-521414,-583690,-575641,-558117,2,2,2,2
2025-09-03 13:38:56.733,-521241,-583562,-583703,-558236,2,2,2,2
2025-09-03 13:38:56.736,-521264,-583652,-583797,-558327,2,2,2,2
2025-09-03 13:38:56.738,-521239,-583621,-583710,-574691,2,2,2,2
2025-09-03 13:38:56.741,-521222,-583502,-583686,-574597,2,2,2,2
2025-09-03 13:38:56.744,-521367,-583446,-583834,-574494,2,2,2,2
2025-09-03 13:38:56.746,-521463,-583468,-583930,-574662,2,2,2,2
2025-09-03 13:38:56.749,-521429,-583434,-583911,-558110,2,2,2,2
2025-09-03 13:38:56.752,-521454,-583522,-583927,-558204,2,2,2,2
2025-09-03 13:38:56.755,-521219,-583467,-583690,-574598,2,2,2,2
2025-09-03 13:38:56.758,-521450,-583470,-583932,-558139,2,2,2,2
2025-09-03 13:38:56.761,-521330,-583665,-583804,-558079,2,2,2,2
2025-09-03 13:38:56.763,-521266,-583660,-583734,-558077,2,2,2,2
2025-09-03 13:38:56.766,-521345,-583672,-575627,-558094,2,2,2,2
2025-09-03 13:38:56.769,-521372,-575256,-583911,-558185,2,2,2,2
2025-09-03 13:38:56.771,-521319,-583652,-583794,-574466,2,2,2,2
2025-09-03 13:38:56.774,-521438,-583453,-583912,-558199,2,2,2,2
2025-09-03 13:38:56.777,-521335,-583660,-583797,-558082,2,2,2,2
2025-09-03 13:38:56.779,-521448,-583716,-583912,-574582,2,2,2,2
2025-09-03 13:38:56.782,-521572,-583832,-583964,-558318,2,2,2,2
2025-09-03 13:38:56.786,-521330,-583667,-583733,-558097,2,2,2,2
2025-09-03 13:38:56.788,-521228,-583630,-583700,-574701,2,2,2,2
2025-09-03 13:38:56.791,-521335,-583671,-583800,-574474,2,2,2,2
2025-09-03 13:38:56.793,-521321,-583653,-583785,-574705,2,2,2,2
2025-09-03 13:38:56.796,-521457,-583788,-583916,-558206,2,2,2,2
2025-09-03 13:38:56.799,-521497,-583835,-583961,-558312,2,2,2,2
2025-09-03 13:38:56.802,-521351,-583695,-575618,-558103,2,2,2,2
2025-09-03 13:38:56.804,-521347,-583695,-583812,-574561,2,2,2,2
2025-09-03 13:38:56.807,-521227,-575457,-583697,-558310,2,2,2,2
2025-09-03 13:38:56.810,-521243,-575461,-583709,-558323,2,2,2,2
2025-09-03 13:38:56.812,-521373,-583717,-583906,-574585,2,2,2,2
2025-09-03 13:38:56.815,-521260,-583684,-583735,-558085,2,2,2,2
2025-09-03 13:38:56.818,-521226,-583579,-583700,-558307,2,2,2,2
2025-09-03 13:38:56.820,-521279,-583449,-583877,-558180,2,2,2,2
2025-09-03 13:38:56.823,-521355,-583495,-583909,-574573,2,2,2,2
2025-09-03 13:38:56.826,-521443,-583546,-583930,-558211,2,2,2,2
2025-09-03 13:38:56.828,-521227,-583659,-583705,-574705,2,2,2,2
2025-09-03 13:38:56.831,-521456,-583568,-583927,-558291,2,2,2,2
2025-09-03 13:38:56.834,-521398,-583543,-583913,-558133,2,2,2,2
2025-09-03 13:38:56.837,-521269,-583448,-583805,-558100,2,2,2,2
2025-09-03 13:38:56.840,-521188,-583630,-583664,-558023,2,2,2,2
2025-09-03 13:38:56.843,-521220,-583657,-583702,-558055,2,2,2,2
2025-09-03 13:38:56.845,-521191,-583631,-583672,-574354,2,2,2,2
2025-09-03 13:38:56.848,-521367,-583619,-583836,-574521,2,2,2,2
2025-09-03 13:38:56.851,-521442,-583617,-583917,-558144,2,2,2,2
2025-09-03 13:38:56.853,-521472,-583655,-583697,-558309,2,2,2,2
2025-09-03 13:38:56.856,-521346,-583551,-583838,-558197,2,2,2,2
2025-09-03 13:38:56.859,-521230,-583679,-583715,-558078,2,2,2,2
2025-09-03 13:38:56.862,-521236,-583680,-583780,-558077,2,2,2,2
2025-09-03 13:38:56.864,-521453,-583642,-583935,-574645,2,2,2,2
2025-09-03 13:38:56.867,-521228,-583680,-583709,-558329,2,2,2,2
