Timestamp,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8
2025-09-03 13:20:36.661,-491749,-550267,-533756,-583196,2,2,2,2
2025-09-03 13:20:36.688,-491664,-550182,-550028,-583175,2,2,2,2
2025-09-03 13:20:36.715,-491642,-550140,-550000,-583147,2,2,2,2
2025-09-03 13:20:36.741,-491315,-549879,-533316,-582884,2,2,2,2
2025-09-03 13:20:36.767,-491390,-549892,-549736,-583139,2,2,2,2
2025-09-03 13:20:36.795,-491639,-534000,-549917,-583316,2,2,2,2
2025-09-03 13:20:36.823,-508029,-550045,-533519,-583051,2,2,2,2
2025-09-03 13:20:36.851,-491507,-549898,-533391,-582919,2,2,2,2
2025-09-03 13:20:36.878,-491514,-533532,-549773,-582913,2,2,2,2
2025-09-03 13:20:36.907,-491639,-550044,-549904,-583056,2,2,2,2
2025-09-03 13:20:36.934,-507909,-550264,-533734,-583266,2,2,2,2
2025-09-03 13:20:36.962,-474908,-550025,-541684,-582970,2,2,2,2
2025-09-03 13:20:36.989,-491628,-550357,-549903,-583311,2,2,2,2
2025-09-03 13:20:37.016,-491499,-533535,-549774,-582916,2,2,2,2
2025-09-03 13:20:37.043,-491649,-541930,-549897,-583054,2,2,2,2
2025-09-03 13:20:37.072,-491750,-550134,-549996,-583150,2,2,2,2
2025-09-03 13:20:37.099,-491761,-533766,-550004,-583138,2,2,2,2
2025-09-03 13:20:37.126,-491622,-533880,-550120,-583199,2,2,2,2
2025-09-03 13:20:37.153,-508020,-550006,-533480,-582926,2,2,2,2
2025-09-03 13:20:37.181,-491559,-550252,-533726,-583165,2,2,2,2
2025-09-03 13:20:37.208,-491753,-541946,-549925,-583046,2,2,2,2
2025-09-03 13:20:37.235,-491638,-550081,-549878,-583167,2,2,2,2
2025-09-03 13:20:37.263,-475070,-550027,-541458,-582937,2,2,2,2
2025-09-03 13:20:37.291,-491283,-549876,-549762,-582833,2,2,2,2
2025-09-03 13:20:37.318,-507980,-549890,-533389,-583152,2,2,2,2
2025-09-03 13:20:37.346,-491512,-549946,-549652,-583013,2,2,2,2
2025-09-03 13:20:37.374,-491533,-550085,-549740,-582964,2,2,2,2
2025-09-03 13:20:37.401,-491742,-549906,-533481,-582913,2,2,2,2
2025-09-03 13:20:37.427,-508004,-550021,-549736,-582960,2,2,2,2
2025-09-03 13:20:37.453,-491636,-533639,-549755,-574850,2,2,2,2
2025-09-03 13:20:37.481,-491540,-549940,-549654,-583013,2,2,2,2
2025-09-03 13:20:37.508,-491517,-549907,-533446,-582922,2,2,2,2
2025-09-03 13:20:37.535,-491641,-550091,-549740,-583051,2,2,2,2
2025-09-03 13:20:37.563,-491762,-533710,-549773,-583159,2,2,2,2
2025-09-03 13:20:37.590,-491525,-549890,-533492,-582930,2,2,2,2
2025-09-03 13:20:37.618,-491624,-533582,-549899,-583023,2,2,2,2
2025-09-03 13:20:37.645,-508004,-549995,-549900,-582949,2,2,2,2
2025-09-03 13:20:37.673,-491639,-550083,-549996,-583048,2,2,2,2
2025-09-03 13:20:37.702,-491569,-549994,-533512,-583023,2,2,2,2
2025-09-03 13:20:37.728,-491780,-533751,-550117,-583176,2,2,2,2
2025-09-03 13:20:37.757,-491528,-550118,-549860,-582913,2,2,2,2
2025-09-03 13:20:37.784,-508025,-549915,-549896,-582960,2,2,2,2
2025-09-03 13:20:37.812,-491529,-550118,-549777,-583158,2,2,2,2
2025-09-03 13:20:37.839,-507968,-550140,-541669,-582934,2,2,2,2
2025-09-03 13:20:37.865,-491539,-549882,-533404,-582933,2,2,2,2
