Timestamp,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8
2025-09-03 13:06:58.690,8230613,5044108,7083402,6588022,2,2,2,2
2025-09-03 13:06:58.690,8230632,7141340,7083419,6604424,2,2,2,2
2025-09-03 13:06:58.690,8247036,7141356,2897387,6588121,2,2,2,2
2025-09-03 13:06:58.690,8247053,7141370,2889211,6588137,2,2,2,2
2025-09-03 13:06:58.691,8230863,5044339,7083573,6588188,2,2,2,2
2025-09-03 13:06:58.691,8230891,5044366,7083728,6588280,2,2,2,2
2025-09-03 13:06:58.691,8230909,2947296,7083743,6588292,2,2,2,2
2025-09-03 13:06:58.691,8247050,7141612,2889449,6588364,2,2,2,2
2025-09-03 13:06:58.691,4052765,7141376,2889463,6588376,2,2,2,2
2025-09-03 13:06:58.692,8230753,2947080,7083770,6588309,2,2,2,2
2025-09-03 13:06:58.692,8230714,7141474,7083537,6588393,2,2,2,2
2025-09-03 13:06:58.692,8247236,7141487,7083546,6588400,2,2,2,2
2025-09-03 13:06:58.692,8230717,5044324,7083571,6588390,2,2,2,2
2025-09-03 13:06:58.692,8230782,7141440,7083540,2394085,2,2,2,2
2025-09-03 13:06:58.693,8230807,2947191,7083563,4491257,2,2,2,2
2025-09-03 13:06:58.693,8230895,2947209,7083583,4491018,2,2,2,2
2025-09-03 13:06:58.693,4036610,7141591,4986511,6604601,2,2,2,2
2025-09-03 13:06:58.693,8230928,7141601,7083712,6588259,2,2,2,2
2025-09-03 13:06:58.694,8231008,7141615,7083762,2410352,2,2,2,2
2025-09-03 13:06:58.694,8231020,7141624,7083771,2410360,2,2,2,2
2025-09-03 13:06:58.694,8247411,7141628,2889472,6588286,2,2,2,2
2025-09-03 13:06:58.695,8247440,7141657,2889499,6588379,2,2,2,2
2025-09-03 13:06:58.695,8231134,5044584,7083818,6588390,2,2,2,2
2025-09-03 13:06:58.695,8231151,7141753,7083896,2410486,2,2,2,2
2025-09-03 13:06:58.695,8247298,7141770,2897800,6588423,2,2,2,2
2025-09-03 13:06:58.696,4053116,7141883,2889723,6588466,2,2,2,2
2025-09-03 13:06:58.696,8231053,2947341,7083786,6588548,2,2,2,2
2025-09-03 13:06:58.697,4036843,7141669,4986726,6604990,2,2,2,2
2025-09-03 13:06:58.697,8247549,7141753,7083898,6588655,2,2,2,2
2025-09-03 13:06:58.698,4053270,7141778,2889624,6588423,2,2,2,2
2025-09-03 13:06:58.698,8231268,2947485,7084006,4491280,2,2,2,2
2025-09-03 13:06:58.698,8231291,2947568,7084025,4491360,2,2,2,2
2025-09-03 13:06:58.698,4037013,7141896,4986896,6604917,2,2,2,2
2025-09-03 13:06:58.698,8231419,7141998,7084146,6588566,2,2,2,2
2025-09-03 13:06:58.699,8231189,7142087,7084172,2410734,2,2,2,2
2025-09-03 13:06:58.699,8231274,7142073,7084190,2410751,2,2,2,2
2025-09-03 13:06:58.699,8231292,2947816,7084272,4491532,2,2,2,2
2025-09-03 13:06:58.699,4037021,7141896,7084046,6605129,2,2,2,2
2025-09-03 13:06:58.700,4053497,7141919,2889834,6588865,2,2,2,2
2025-09-03 13:06:58.700,8231430,5044840,7084083,6588806,2,2,2,2
2025-09-03 13:06:58.700,8231426,7141950,7084139,2410875,2,2,2,2
2025-09-03 13:06:58.700,8247804,7141911,2898022,6588725,2,2,2,2
2025-09-03 13:06:58.701,4053519,7141996,2889848,6588870,2,2,2,2
2025-09-03 13:06:58.701,8231450,2947699,7084226,6588811,2,2,2,2
2025-09-03 13:06:58.702,4037144,7141937,4987010,6605185,2,2,2,2
2025-09-03 13:06:58.702,8247854,7142021,7084180,6588816,2,2,2,2
2025-09-03 13:06:58.702,4053629,7142033,2889887,6588884,2,2,2,2
2025-09-03 13:06:58.703,8231563,2947742,7084271,4491676,2,2,2,2
2025-09-03 13:06:58.703,8231569,2947742,7084271,4491745,2,2,2,2
2025-09-03 13:06:58.703,4037345,7142124,4987133,6605262,2,2,2,2
2025-09-03 13:06:58.703,8231655,7142125,7084286,6588911,2,2,2,2
2025-09-03 13:06:58.704,8231672,2947835,7084304,6588924,2,2,2,2
2025-09-03 13:06:58.704,8247834,7142174,2898286,6588694,2,2,2,2
2025-09-03 13:06:58.704,8231527,2947941,7084342,4491546,2,2,2,2
2025-09-03 13:06:58.704,4037236,7142193,7084415,6605123,2,2,2,2
2025-09-03 13:06:58.705,8231562,7142275,7084438,2394483,2,2,2,2
2025-09-03 13:06:58.705,8231645,5045141,7084489,6588798,2,2,2,2
2025-09-03 13:06:58.705,8231652,7142329,7084527,2410883,2,2,2,2
2025-09-03 13:06:58.705,4037371,7142380,7084289,6605206,2,2,2,2
2025-09-03 13:06:58.706,4045676,7142160,4987240,6605307,2,2,2,2
2025-09-03 13:06:58.706,8231874,5045100,7084417,6588943,2,2,2,2
2025-09-03 13:06:58.706,8231908,2947984,7084515,6589038,2,2,2,2
2025-09-03 13:06:58.707,8248319,7142378,2890232,6589061,2,2,2,2
2025-09-03 13:06:58.707,8248094,7142407,7084561,6589087,2,2,2,2
2025-09-03 13:06:58.707,4053902,7142455,2890367,6588938,2,2,2,2
2025-09-03 13:06:58.708,8231905,2948231,7084748,6588954,2,2,2,2
2025-09-03 13:06:58.708,8231909,7142600,7084684,6605338,2,2,2,2
2025-09-03 13:06:58.708,8248301,7142544,2890390,6588958,2,2,2,2
2025-09-03 13:06:58.708,8231935,7142559,7084746,6589039,2,2,2,2
2025-09-03 13:06:58.709,8231965,5045499,7084554,6589066,2,2,2,2
2025-09-03 13:06:58.709,8248445,7142428,2890346,6589160,2,2,2,2
2025-09-03 13:06:58.709,8232085,2948207,7084606,4492028,2,2,2,2
2025-09-03 13:06:58.709,8232162,2948222,7084747,2394887,2,2,2,2
2025-09-03 13:06:58.710,8232188,5045399,7084736,6589281,2,2,2,2
2025-09-03 13:06:58.710,8231942,7142587,7084775,2411366,2,2,2,2
2025-09-03 13:06:58.710,8248335,7142559,2898670,6589228,2,2,2,2
2025-09-03 13:06:58.711,8248351,7142635,7084798,6589301,2,2,2,2
