Timestamp,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8
2025-09-03 13:05:31.559,-815895,-1823446,-1831275,-7006110,2,2,2,2
2025-09-03 13:05:31.559,-799510,-1806995,-1831274,-7006110,2,2,2,2
2025-09-03 13:05:31.559,-815905,-1807075,-1831291,-7006188,2,2,2,2
2025-09-03 13:05:31.559,-815984,-1823468,-1831303,-2803705,2,2,2,2
2025-09-03 13:05:31.559,-815985,-1807083,-1831364,-7006199,2,2,2,2
2025-09-03 13:05:31.560,-815978,-1807077,-1831232,-4909043,2,2,2,2
2025-09-03 13:05:31.560,-815984,-1807082,-1831304,-7006197,2,2,2,2
2025-09-03 13:05:31.560,-816065,-1807096,-1831323,-7006212,2,2,2,2
2025-09-03 13:05:31.560,-816009,-1823484,-1831394,-2803720,2,2,2,2
2025-09-03 13:05:31.560,-816020,-1823238,-1831409,-2803735,2,2,2,2
2025-09-03 13:05:31.560,-799677,-1806866,-1831418,-7006242,2,2,2,2
2025-09-03 13:05:31.560,-816100,-1806872,-3928578,-7006280,2,2,2,2
2025-09-03 13:05:31.560,-816103,-1806876,-3928584,-7006321,2,2,2,2
2025-09-03 13:05:31.560,-816120,-1806888,-1831449,-7006401,2,2,2,2
2025-09-03 13:05:31.560,-815887,-1806973,-1831467,-7006356,2,2,2,2
2025-09-03 13:05:31.561,-799553,-1806989,-1831546,-7006368,2,2,2,2
2025-09-03 13:05:31.561,-799566,-1806999,-1831562,-7006444,2,2,2,2
2025-09-03 13:05:31.561,-815990,-1807072,-1831570,-7006451,2,2,2,2
2025-09-03 13:05:31.561,-816014,-1823479,-1831654,-2811910,2,2,2,2
2025-09-03 13:05:31.562,-816014,-1807097,-1831654,-7006217,2,2,2,2
2025-09-03 13:05:31.562,-816016,-1807099,-1831655,-7006221,2,2,2,2
2025-09-03 13:05:31.562,-816091,-1807107,-1831661,-7006225,2,2,2,2
2025-09-03 13:05:31.562,-799716,-1807113,-1831666,-7006227,2,2,2,2
2025-09-03 13:05:31.563,-799641,-1807098,-1831584,-7006215,2,2,2,2
2025-09-03 13:05:31.563,-816081,-1807086,-1831641,-7006463,2,2,2,2
2025-09-03 13:05:31.563,-816012,-1823465,-1831575,-7006463,2,2,2,2
2025-09-03 13:05:31.563,-816086,-1807091,-1831614,-7006216,2,2,2,2
2025-09-03 13:05:31.564,-816095,-1807100,-1831619,-7006222,2,2,2,2
2025-09-03 13:05:31.564,-816032,-1823489,-1831657,-2803728,2,2,2,2
2025-09-03 13:05:31.564,-799726,-1807116,-1831671,-7006235,2,2,2,2
2025-09-03 13:05:31.565,-799738,-1807126,-1831680,-7006309,2,2,2,2
2025-09-03 13:05:31.565,-816117,-1807123,-1831676,-7006274,2,2,2,2
2025-09-03 13:05:31.565,-816097,-1807103,-1831657,-7006224,2,2,2,2
2025-09-03 13:05:31.565,-816028,-1823477,-1831649,-2803720,2,2,2,2
2025-09-03 13:05:31.566,-816018,-1807082,-1831641,-7006464,2,2,2,2
2025-09-03 13:05:31.566,-799615,-1807001,-1831561,-7006445,2,2,2,2
2025-09-03 13:05:31.566,-815993,-1815189,-1831622,-4909284,2,2,2,2
2025-09-03 13:05:31.566,-815999,-1807063,-3928711,-7006404,2,2,2,2
2025-09-03 13:05:31.567,-815930,-3904139,-1831486,-7006366,2,2,2,2
2025-09-03 13:05:31.567,-815982,-1823355,-1831537,-2803858,2,2,2,2
2025-09-03 13:05:31.567,-799554,-1806960,-1831527,-7006406,2,2,2,2
2025-09-03 13:05:31.567,-815973,-1815155,-1831468,-4909190,2,2,2,2
2025-09-03 13:05:31.568,-815979,-1806907,-1831539,-7006410,2,2,2,2
2025-09-03 13:05:31.568,-815910,-3904120,-1831471,-7006341,2,2,2,2
2025-09-03 13:05:31.568,-815976,-1823351,-1831538,-2812033,2,2,2,2
2025-09-03 13:05:31.568,-815973,-1815150,-1831472,-4909177,2,2,2,2
2025-09-03 13:05:31.569,-815902,-1815142,-1831465,-2812018,2,2,2,2
2025-09-03 13:05:31.569,-815897,-1806884,-3928676,-7006254,2,2,2,2
2025-09-03 13:05:31.569,-815891,-3904030,-1831486,-7006313,2,2,2,2
2025-09-03 13:05:31.569,-799495,-1806866,-1831442,-7006232,2,2,2,2
2025-09-03 13:05:31.570,-815875,-1806856,-1831437,-7006225,2,2,2,2
2025-09-03 13:05:31.570,-799743,-1806853,-1831433,-7006224,2,2,2,2
2025-09-03 13:05:31.570,-816120,-1823488,-1831423,-2803722,2,2,2,2
2025-09-03 13:05:31.571,-816102,-1807091,-1831405,-7006202,2,2,2,2
2025-09-03 13:05:31.571,-816025,-1823460,-1831327,-7006189,2,2,2,2
2025-09-03 13:05:31.571,-816002,-1807053,-1831306,-7006134,2,2,2,2
2025-09-03 13:05:31.571,-815922,-1806973,-1831289,-7006085,2,2,2,2
2025-09-03 13:05:31.572,-815977,-1823347,-1831281,-2803578,2,2,2,2
2025-09-03 13:05:31.572,-799588,-1806953,-1831275,-7006004,2,2,2,2
2025-09-03 13:05:31.572,-815974,-1806952,-1831218,-7006071,2,2,2,2
2025-09-03 13:05:31.572,-815984,-1815150,-1831229,-4908932,2,2,2,2
2025-09-03 13:05:31.573,-816008,-1807043,-3928466,-7006136,2,2,2,2
2025-09-03 13:05:31.573,-799730,-1807076,-1831410,-7006201,2,2,2,2
2025-09-03 13:05:31.573,-799743,-1807096,-1831431,-7006216,2,2,2,2
2025-09-03 13:05:31.574,-815892,-1815052,-1831450,-4909085,2,2,2,2
2025-09-03 13:05:31.574,-815973,-1806872,-3928682,-7006279,2,2,2,2
2025-09-03 13:05:31.574,-815975,-1806873,-1831524,-7006246,2,2,2,2
2025-09-03 13:05:31.574,-815980,-1823260,-1831526,-7006316,2,2,2,2
2025-09-03 13:05:31.575,-799594,-1806875,-1831524,-7006250,2,2,2,2
2025-09-03 13:05:31.575,-815982,-1806946,-1831465,-4909165,2,2,2,2
2025-09-03 13:05:31.575,-815933,-3904110,-1831484,-7006330,2,2,2,2
2025-09-03 13:05:31.576,-816069,-3904119,-1831622,-7006340,2,2,2,2
2025-09-03 13:05:31.576,-816005,-1823354,-1831558,-2812036,2,2,2,2
2025-09-03 13:05:31.576,-815995,-1806893,-1831544,-7006326,2,2,2,2
2025-09-03 13:05:31.577,-815885,-1807099,-3928585,-7006212,2,2,2,2
2025-09-03 13:05:31.577,-816101,-3904149,-1831362,-7006111,2,2,2,2
2025-09-03 13:05:31.577,-816084,-1806978,-1831376,-7006089,2,2,2,2
2025-09-03 13:05:31.577,-799685,-1806958,-1831302,-7006072,2,2,2,2
2025-09-03 13:05:31.578,-799691,-1806964,-1831312,-7006080,2,2,2,2
2025-09-03 13:05:31.578,-816028,-1823365,-1831397,-2803597,2,2,2,2
2025-09-03 13:05:31.578,-816097,-1806982,-1831402,-4908944,2,2,2,2
2025-09-03 13:05:31.579,-816024,-1823291,-1831393,-7006087,2,2,2,2
2025-09-03 13:05:31.579,-799667,-1806964,-1831326,-7006081,2,2,2,2
2025-09-03 13:05:31.579,-816068,-1806952,-1831311,-7006069,2,2,2,2
2025-09-03 13:05:31.580,-799617,-1806945,-1831302,-7006001,2,2,2,2
2025-09-03 13:05:31.580,-799615,-1806878,-1831300,-7005998,2,2,2,2
2025-09-03 13:05:31.580,-815984,-1806864,-1831221,-7006049,2,2,2,2
2025-09-03 13:05:31.580,-815977,-1815051,-1831216,-4908827,2,2,2,2
2025-09-03 13:05:31.581,-815979,-1823233,-1831292,-2803480,2,2,2,2
2025-09-03 13:05:31.581,-799606,-1806854,-1831296,-7005982,2,2,2,2
2025-09-03 13:05:31.581,-799691,-1806876,-1831315,-7006067,2,2,2,2
2025-09-03 13:05:31.582,-816026,-1806892,-3928546,-7006083,2,2,2,2
2025-09-03 13:05:31.582,-816027,-1806890,-1831395,-7006016,2,2,2,2
2025-09-03 13:05:31.582,-816103,-3904113,-1831407,-7006087,2,2,2,2
2025-09-03 13:05:31.582,-816117,-1823295,-1831421,-7006101,2,2,2,2
2025-09-03 13:05:31.583,-799737,-1806984,-1831427,-7006170,2,2,2,2
2025-09-03 13:05:31.583,-815874,-1815185,-1831432,-2811808,2,2,2,2
2025-09-03 13:05:31.583,-815879,-1807065,-3928589,-7006184,2,2,2,2
2025-09-03 13:05:31.583,-815881,-1823421,-1831438,-2803693,2,2,2,2
2025-09-03 13:05:31.584,-815900,-1823437,-1831449,-2803709,2,2,2,2
2025-09-03 13:05:31.584,-815989,-1823482,-1831533,-7006223,2,2,2,2
2025-09-03 13:05:31.584,-799682,-1806856,-1831547,-7006238,2,2,2,2
2025-09-03 13:05:31.584,-816022,-1806878,-3928717,-7006257,2,2,2,2
2025-09-03 13:05:31.585,-816099,-1806889,-1831578,-7006269,2,2,2,2
2025-09-03 13:05:31.585,-816111,-1806958,-1831650,-7006339,2,2,2,2
2025-09-03 13:05:31.585,-816103,-1823268,-1831580,-7006335,2,2,2,2
2025-09-03 13:05:31.585,-816028,-1806878,-1831571,-7006328,2,2,2,2
2025-09-03 13:05:31.586,-816084,-1806870,-1831565,-7006321,2,2,2,2
2025-09-03 13:05:31.586,-816008,-1823240,-1831550,-2803743,2,2,2,2
2025-09-03 13:05:31.586,-799613,-1807100,-1831537,-7006231,2,2,2,2
2025-09-03 13:05:31.586,-799613,-1807101,-1831539,-7006232,2,2,2,2
2025-09-03 13:05:31.587,-816008,-1806857,-1831552,-7006306,2,2,2,2
2025-09-03 13:05:31.587,-816081,-1806862,-1831560,-7006314,2,2,2,2
2025-09-03 13:05:31.587,-799645,-1806877,-1831574,-7006263,2,2,2,2
2025-09-03 13:05:31.588,-816106,-1806958,-1831652,-4909188,2,2,2,2
2025-09-03 13:05:31.588,-816116,-1815154,-1831659,-4909195,2,2,2,2
2025-09-03 13:05:31.588,-816115,-1806898,-3928810,-7006342,2,2,2,2
2025-09-03 13:05:31.588,-816105,-1806949,-1831615,-7006329,2,2,2,2
2025-09-03 13:05:31.589,-816032,-1823257,-1831572,-2803824,2,2,2,2
2025-09-03 13:05:31.589,-799717,-1806872,-1831572,-7006252,2,2,2,2
2025-09-03 13:05:31.589,-816099,-1806870,-1831634,-4909165,2,2,2,2
2025-09-03 13:05:31.589,-816108,-1806877,-1831580,-7006328,2,2,2,2
2025-09-03 13:05:31.590,-816109,-1806880,-3928734,-7006266,2,2,2,2
2025-09-03 13:05:31.590,-816102,-3904025,-1831610,-7006329,2,2,2,2
2025-09-03 13:05:31.590,-816032,-1823286,-1831576,-2803828,2,2,2,2
2025-09-03 13:05:31.590,-799712,-1806865,-1831571,-7006313,2,2,2,2
2025-09-03 13:05:31.591,-816105,-1815064,-1831640,-4909167,2,2,2,2
2025-09-03 13:05:31.591,-816108,-1806874,-3928727,-7006285,2,2,2,2
2025-09-03 13:05:31.591,-816109,-3904032,-1831613,-7006318,2,2,2,2
2025-09-03 13:05:31.591,-816108,-1806951,-1831652,-4909168,2,2,2,2
2025-09-03 13:05:31.592,-816104,-1823270,-1831584,-7006315,2,2,2,2
2025-09-03 13:05:31.592,-799680,-1806876,-1831577,-7006306,2,2,2,2
2025-09-03 13:05:31.593,-799725,-1806947,-1831653,-7006252,2,2,2,2
2025-09-03 13:05:31.593,-816123,-3904105,-1831661,-7006324,2,2,2,2
2025-09-03 13:05:31.593,-816136,-1823347,-1831669,-2812030,2,2,2,2
2025-09-03 13:05:31.593,-799797,-1806973,-1831425,-7006412,2,2,2,2
2025-09-03 13:05:31.593,-816154,-3904127,-1831434,-7006354,2,2,2,2
2025-09-03 13:05:31.594,-799760,-1806955,-1831672,-7006271,2,2,2,2
2025-09-03 13:05:31.594,-816151,-1806957,-1831675,-7006340,2,2,2,2
2025-09-03 13:05:31.594,-799764,-1806950,-1831669,-7006337,2,2,2,2
2025-09-03 13:05:31.595,-816133,-1806877,-3928810,-7006326,2,2,2,2
2025-09-03 13:05:31.595,-816121,-1806869,-1831620,-7006315,2,2,2,2
2025-09-03 13:05:31.595,-799745,-1806879,-1831664,-7006259,2,2,2,2
2025-09-03 13:05:31.595,-816135,-1823270,-1831670,-7006329,2,2,2,2
2025-09-03 13:05:31.596,-816120,-1806873,-1831654,-4909164,2,2,2,2
2025-09-03 13:05:31.596,-816102,-1806854,-1831570,-7006265,2,2,2,2
2025-09-03 13:05:31.596,-816118,-1806868,-1831620,-7006312,2,2,2,2
2025-09-03 13:05:31.596,-816137,-1806948,-1831666,-7006328,2,2,2,2
2025-09-03 13:05:31.597,-816150,-1823311,-1831679,-2812036,2,2,2,2
2025-09-03 13:05:31.597,-799807,-1806965,-1831429,-7006411,2,2,2,2
2025-09-03 13:05:31.597,-799773,-1806964,-1831428,-7006348,2,2,2,2
2025-09-03 13:05:31.597,-816152,-1806895,-1831678,-7006403,2,2,2,2
2025-09-03 13:05:31.598,-799816,-1806976,-1831440,-7006420,2,2,2,2
2025-09-03 13:05:31.598,-816229,-1823290,-1831434,-7006352,2,2,2,2
2025-09-03 13:05:31.598,-816158,-1806894,-1831426,-7006340,2,2,2,2
2025-09-03 13:05:31.599,-816227,-1806889,-1831431,-7006406,2,2,2,2
2025-09-03 13:05:31.599,-816174,-3904114,-1831446,-7006354,2,2,2,2
2025-09-03 13:05:31.599,-799865,-1806969,-1831523,-7006431,2,2,2,2
2025-09-03 13:05:31.600,-816246,-1806905,-1831456,-7006397,2,2,2,2
2025-09-03 13:05:31.600,-816250,-1815160,-1831455,-2812060,2,2,2,2
2025-09-03 13:05:31.601,-816252,-1823354,-1831451,-2803867,2,2,2,2
2025-09-03 13:05:31.601,-816246,-1806962,-1831447,-7006358,2,2,2,2
2025-09-03 13:05:31.601,-816241,-1806891,-1831437,-7006349,2,2,2,2
2025-09-03 13:05:31.601,-816238,-1806886,-3928585,-7006345,2,2,2,2
2025-09-03 13:05:31.601,-816241,-1806891,-1831437,-7006412,2,2,2,2
2025-09-03 13:05:31.602,-816253,-1823352,-1831449,-2803868,2,2,2,2
2025-09-03 13:05:31.602,-799877,-1806974,-1831523,-7006431,2,2,2,2
2025-09-03 13:05:31.602,-816260,-1806977,-1831461,-4909216,2,2,2,2
2025-09-03 13:05:31.602,-816272,-1807052,-1831539,-7006408,2,2,2,2
2025-09-03 13:05:31.603,-816342,-1806993,-1831547,-7006446,2,2,2,2
2025-09-03 13:05:31.603,-816267,-1823368,-1831543,-2803942,2,2,2,2
2025-09-03 13:05:31.603,-816253,-1823355,-1831530,-2812058,2,2,2,2
2025-09-03 13:05:31.603,-799815,-1806946,-1831447,-7006412,2,2,2,2
2025-09-03 13:05:31.604,-816138,-1815045,-1831675,-4909167,2,2,2,2
2025-09-03 13:05:31.604,-816117,-1807084,-3928801,-7006228,2,2,2,2
2025-09-03 13:05:31.604,-799729,-1807080,-1831579,-7006222,2,2,2,2
2025-09-03 13:05:31.604,-816122,-1823475,-1831653,-7006234,2,2,2,2
2025-09-03 13:05:31.605,-799745,-1807098,-1831663,-7006239,2,2,2,2
2025-09-03 13:05:31.605,-816119,-1815276,-1831650,-4909071,2,2,2,2
2025-09-03 13:05:31.605,-799718,-1806998,-1831563,-7006205,2,2,2,2
2025-09-03 13:05:31.606,-816075,-3904124,-1831473,-7006180,2,2,2,2
2025-09-03 13:05:31.606,-815997,-1823275,-1831522,-2811798,2,2,2,2
2025-09-03 13:05:31.606,-816000,-1806893,-1831521,-7006131,2,2,2,2
2025-09-03 13:05:31.606,-816013,-1823353,-1831530,-2803614,2,2,2,2
2025-09-03 13:05:31.607,-799616,-1806948,-1831449,-7006151,2,2,2,2
2025-09-03 13:05:31.607,-799621,-1806949,-1831452,-7006152,2,2,2,2
2025-09-03 13:05:31.608,-815997,-1806883,-3928601,-7006082,2,2,2,2
2025-09-03 13:05:31.608,-816067,-1806954,-1831455,-7006084,2,2,2,2
2025-09-03 13:05:31.608,-815990,-1823298,-1831452,-2803578,2,2,2,2
2025-09-03 13:05:31.609,-815989,-1806878,-1831455,-7006072,2,2,2,2
2025-09-03 13:05:31.609,-815992,-1806877,-1831454,-4908920,2,2,2,2
2025-09-03 13:05:31.609,-816002,-1806884,-3928676,-7006078,2,2,2,2
2025-09-03 13:05:31.609,-816015,-1806893,-3928687,-7006152,2,2,2,2
2025-09-03 13:05:31.610,-799639,-1806961,-1831539,-7006159,2,2,2,2
2025-09-03 13:05:31.610,-816029,-1823349,-1831540,-2811787,2,2,2,2
2025-09-03 13:05:31.610,-799669,-1806958,-1831532,-7006148,2,2,2,2
2025-09-03 13:05:31.610,-799693,-1806945,-1831522,-7006077,2,2,2,2
2025-09-03 13:05:31.610,-816011,-1823263,-1831454,-2803581,2,2,2,2
2025-09-03 13:05:31.611,-816079,-3904028,-1831486,-7006084,2,2,2,2
2025-09-03 13:05:31.611,-815994,-1823241,-1831433,-2803570,2,2,2,2
2025-09-03 13:05:31.611,-815895,-1823205,-1831398,-7005964,2,2,2,2
2025-09-03 13:05:31.611,-815877,-1814928,-1831382,-2811893,2,2,2,2
2025-09-03 13:05:31.612,-816120,-1806653,-1831304,-7006182,2,2,2,2
2025-09-03 13:05:31.612,-799744,-1806724,-1831313,-7006184,2,2,2,2
2025-09-03 13:05:31.612,-815894,-1806809,-1831403,-7006204,2,2,2,2
2025-09-03 13:05:31.613,-815971,-1806820,-1831419,-7005953,2,2,2,2
2025-09-03 13:05:31.613,-815902,-1806819,-1831413,-7006205,2,2,2,2
2025-09-03 13:05:31.613,-815899,-3903904,-1831411,-7006204,2,2,2,2
2025-09-03 13:05:31.613,-815876,-1823116,-1831326,-2803691,2,2,2,2
2025-09-03 13:05:31.614,-816116,-1806715,-1831375,-7006111,2,2,2,2
2025-09-03 13:05:31.614,-816115,-1814906,-1831374,-4908956,2,2,2,2
2025-09-03 13:05:31.614,-816124,-1806786,-3928472,-7006146,2,2,2,2
2025-09-03 13:05:31.614,-815879,-1806794,-1831323,-7006188,2,2,2,2
2025-09-03 13:05:31.615,-815891,-1823156,-1831403,-2803704,2,2,2,2
2025-09-03 13:05:31.615,-799519,-1806819,-1831418,-7005953,2,2,2,2
2025-09-03 13:05:31.615,-799555,-1806823,-1831423,-7005958,2,2,2,2
